rule,methods,endpoint,blueprint,defaults,arguments
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/delete,POST,trabalho_delete,,{},trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/edit,GET|POST,trabalho_edit,,{},trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/entregas/<int:grupo_id>/save,POST,trabalho_save_entrega,,{},grupo_id|trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/grupos,POST,trabalho_add_grupo,,{},trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/grupos/<int:grupo_id>/membros/<int:aluno_id>/remove,POST,trabalho_remove_membro_grupo,,{},aluno_id|grupo_id|trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/importar-grupos,POST,trabalho_importar_grupos_turma,,{},trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/<int:trabalho_id>/parametros,POST,trabalho_add_parametro,,{},trabalho_id|turma_id
/turmas/<int:turma_id>/trabalhos/mapa,GET,turma_trabalhos_mapa,,{},turma_id
/turmas/add,GET|POST,turmas_add,,{},
/turmas/export/csv,POST,turmas_export_csv,,{},
/turmas/importar,GET|POST,turmas_importar,,{},
